employee_id,age_raw,gender,sector,stress_level,stress_source,destress_method,sleep_hours,age_group,risk_category
0,60,Hombre,Construcción,5,Salud,Naturaleza,7.749763390897317,Boomers (50+),Riesgo Moderado
1,50,Hombre,Educación,5,Finanzas,Socializar,6.452939759472804,Gen X (40-49),Riesgo Moderado
2,36,Hombre,Retail,2,Familia,Naturaleza,8.426828884470188,Millennials (30-39),Bajo Riesgo
3,64,Hombre,Salud,4,Salud,Naturaleza,6.500801241864233,Boomers (50+),Bajo Riesgo
4,29,Mujer,Educación,6,Familia,Naturaleza,6.766004899676111,Gen Z (20-29),Riesgo Moderado
5,42,Mujer,Construcción,5,Salud,Naturaleza,5.236476123410766,Gen X (40-49),Riesgo Moderado
6,60,Hombre,Retail,6,Carga Laboral,Naturaleza,7.373248192903179,Boomers (50+),Riesgo Moderado
7,40,Mujer,Educación,4,Carga Laboral,Socializar,7.306085843279108,Millennials (30-39),Bajo Riesgo
8,44,Hombre,Construcción,5,Familia,Deporte,5.873089069152094,Gen X (40-49),Riesgo Moderado
9,32,Hombre,Tecnología,1,Finanzas,Naturaleza,4.576838200641463,Millennials (30-39),Bajo Riesgo
10,32,Hombre,Tecnología,4,Finanzas,Videojuegos,4.2595326997205945,Millennials (30-39),Bajo Riesgo
11,45,Mujer,Finanzas,6,Carga Laboral,Socializar,8.011305444924464,Gen X (40-49),Riesgo Moderado
12,57,Hombre,Salud,9,Finanzas,Naturaleza,4.751087623208537,Boomers (50+),Alto Riesgo
13,61,Hombre,Tecnología,5,Finanzas,Videojuegos,8.78384254558766,Boomers (50+),Riesgo Moderado
14,45,Hombre,Construcción,6,Finanzas,Naturaleza,5.324006105398988,Gen X (40-49),Riesgo Moderado
15,24,Mujer,Educación,5,Familia,Deporte,6.052523471272801,Gen Z (20-29),Riesgo Moderado
16,43,Hombre,Retail,6,Familia,Socializar,10.747325527099326,Gen X (40-49),Riesgo Moderado
17,23,Mujer,Educación,5,Finanzas,Deporte,5.793689639791456,Gen Z (20-29),Riesgo Moderado
18,45,Mujer,Finanzas,8,Carga Laboral,Videojuegos,5.0537339359397375,Gen X (40-49),Alto Riesgo
19,51,Mujer,Educación,5,Finanzas,Naturaleza,5.9912639998251285,Boomers (50+),Riesgo Moderado
20,59,Mujer,Tecnología,5,Salud,Deporte,4.224349134655188,Boomers (50+),Riesgo Moderado
21,23,Hombre,Educación,7,Carga Laboral,Deporte,6.076611238330686,Gen Z (20-29),Riesgo Moderado
22,42,Hombre,Tecnología,6,Familia,Naturaleza,6.608309808706408,Gen X (40-49),Riesgo Moderado
23,54,Mujer,Tecnología,4,Salud,Socializar,7.990504761914431,Boomers (50+),Bajo Riesgo
24,33,Hombre,Salud,7,Finanzas,Videojuegos,7.264495952869064,Millennials (30-39),Riesgo Moderado
25,43,Mujer,Finanzas,3,Finanzas,Socializar,6.718592441315151,Gen X (40-49),Bajo Riesgo
26,46,Mujer,Construcción,5,Carga Laboral,Videojuegos,9.724913224974118,Gen X (40-49),Riesgo Moderado
27,48,Mujer,Tecnología,6,Carga Laboral,Videojuegos,7.400113055303928,Gen X (40-49),Riesgo Moderado
28,63,Mujer,Retail,4,Finanzas,Deporte,8.652713353371967,Boomers (50+),Bajo Riesgo
29,49,No Binario,Finanzas,4,Finanzas,Naturaleza,7.836692959523974,Gen X (40-49),Bajo Riesgo
30,37,Mujer,Construcción,4,Carga Laboral,Socializar,8.594539916572005,Millennials (30-39),Bajo Riesgo
31,36,Hombre,Retail,3,Salud,Deporte,8.22128558390058,Millennials (30-39),Bajo Riesgo
32,24,Mujer,Educación,6,Familia,Deporte,7.751504303149763,Gen Z (20-29),Riesgo Moderado
33,58,Hombre,Finanzas,4,Carga Laboral,Deporte,7.41461859792013,Boomers (50+),Bajo Riesgo
34,28,Hombre,Retail,7,Salud,Socializar,8.728614643237655,Gen Z (20-29),Riesgo Moderado
35,42,Mujer,Finanzas,5,Finanzas,Deporte,5.621142197896519,Gen X (40-49),Riesgo Moderado
36,30,Hombre,Finanzas,6,Familia,Naturaleza,5.398949552539647,Gen Z (20-29),Riesgo Moderado
37,60,Hombre,Educación,2,Salud,Deporte,4.105421992646216,Boomers (50+),Bajo Riesgo
38,39,Hombre,Educación,3,Familia,Deporte,7.286366556131329,Millennials (30-39),Bajo Riesgo
39,25,Mujer,Finanzas,5,Familia,Videojuegos,8.242858871424655,Gen Z (20-29),Riesgo Moderado
40,46,Mujer,Retail,7,Familia,Deporte,4.940731485648956,Gen X (40-49),Riesgo Moderado
41,35,Mujer,Salud,7,Salud,Socializar,5.413330720904604,Millennials (30-39),Riesgo Moderado
42,30,Hombre,Tecnología,5,Salud,Socializar,8.66148936813936,Gen Z (20-29),Riesgo Moderado
43,47,Mujer,Educación,4,Finanzas,Naturaleza,7.541332983924506,Gen X (40-49),Bajo Riesgo
44,23,Mujer,Salud,8,Familia,Socializar,7.476083171146207,Gen Z (20-29),Alto Riesgo
45,41,Hombre,Educación,4,Carga Laboral,Socializar,7.122403865260985,Gen X (40-49),Bajo Riesgo
46,49,Hombre,Finanzas,6,Carga Laboral,Deporte,6.182009452228926,Gen X (40-49),Riesgo Moderado
47,28,Hombre,Salud,6,Carga Laboral,Naturaleza,4.167960375445933,Gen Z (20-29),Riesgo Moderado
48,29,No Binario,Retail,8,Salud,Socializar,7.38818170333504,Gen Z (20-29),Alto Riesgo
49,56,Mujer,Retail,4,Finanzas,Naturaleza,9.69746028741005,Boomers (50+),Bajo Riesgo
50,35,Mujer,Construcción,5,Salud,Naturaleza,6.948919519091908,Millennials (30-39),Riesgo Moderado
51,38,Hombre,Tecnología,4,Familia,Videojuegos,4.784727609127936,Millennials (30-39),Bajo Riesgo
52,57,Mujer,Tecnología,7,Carga Laboral,Videojuegos,6.199594066564906,Boomers (50+),Riesgo Moderado
53,61,Mujer,Educación,5,Salud,Deporte,7.925031207642718,Boomers (50+),Riesgo Moderado
54,25,Mujer,Tecnología,4,Carga Laboral,Socializar,8.10337287404495,Gen Z (20-29),Bajo Riesgo
55,23,No Binario,Construcción,4,Salud,Deporte,8.83634343157039,Gen Z (20-29),Bajo Riesgo
56,27,Hombre,Retail,7,Carga Laboral,Deporte,8.09057789846777,Gen Z (20-29),Riesgo Moderado
57,63,Hombre,Salud,3,Familia,Naturaleza,3.503694622301404,Boomers (50+),Bajo Riesgo
58,25,Mujer,Salud,7,Carga Laboral,Naturaleza,6.844134579549294,Gen Z (20-29),Riesgo Moderado
59,50,Mujer,Retail,4,Familia,Naturaleza,4.337085467779727,Gen X (40-49),Bajo Riesgo
60,39,Mujer,Finanzas,5,Familia,Deporte,7.451723833924851,Millennials (30-39),Riesgo Moderado
61,47,Hombre,Retail,5,Salud,Socializar,7.598303507308097,Gen X (40-49),Riesgo Moderado
62,55,Mujer,Salud,6,Salud,Deporte,5.269131530202517,Boomers (50+),Riesgo Moderado
63,31,Hombre,Educación,5,Salud,Deporte,6.04928434519648,Millennials (30-39),Riesgo Moderado
64,57,Hombre,Construcción,5,Familia,Deporte,5.535557952383624,Boomers (50+),Riesgo Moderado
65,35,Mujer,Retail,8,Finanzas,Videojuegos,7.731171691376353,Millennials (30-39),Alto Riesgo
66,52,Mujer,Finanzas,7,Finanzas,Videojuegos,6.381860682741485,Boomers (50+),Riesgo Moderado
67,36,Hombre,Educación,4,Familia,Socializar,5.536563470785706,Millennials (30-39),Bajo Riesgo
68,29,Hombre,Retail,7,Familia,Videojuegos,7.6780110536266,Gen Z (20-29),Riesgo Moderado
69,35,Hombre,Educación,6,Salud,Deporte,7.414440909409309,Millennials (30-39),Riesgo Moderado
70,44,Hombre,Retail,4,Salud,Videojuegos,7.727761057526736,Gen X (40-49),Bajo Riesgo
71,61,Mujer,Educación,5,Salud,Videojuegos,4.187738607624999,Boomers (50+),Riesgo Moderado
72,42,Mujer,Tecnología,6,Finanzas,Deporte,5.629111991932712,Gen X (40-49),Riesgo Moderado
73,37,Hombre,Educación,4,Finanzas,Socializar,7.519631527179449,Millennials (30-39),Bajo Riesgo
74,39,Mujer,Tecnología,5,Familia,Videojuegos,4.006644736776089,Millennials (30-39),Riesgo Moderado
75,45,Mujer,Salud,6,Finanzas,Deporte,4.047850235298824,Gen X (40-49),Riesgo Moderado
76,47,Mujer,Tecnología,5,Salud,Deporte,5.3989900949479,Gen X (40-49),Riesgo Moderado
77,46,Hombre,Educación,5,Salud,Deporte,7.659951384082026,Gen X (40-49),Riesgo Moderado
78,62,Mujer,Construcción,6,Salud,Naturaleza,6.5169731321984505,Boomers (50+),Riesgo Moderado
